Pavarde        Vardas         Galutinis balas (vid.)        
Pavarde8630    Vardas8630     4.44                          
Pavarde8631    Vardas8631     4.40                          
Pavarde8632    Vardas8632     2.64                          
Pavarde8634    Vardas8634     4.56                          
Pavarde8635    Vardas8635     3.68                          
Pavarde8636    Vardas8636     4.12                          
Pavarde8637    Vardas8637     3.16                          
Pavarde8638    Vardas8638     4.36                          
Pavarde8640    Vardas8640     4.52                          
Pavarde8641    Vardas8641     3.04                          
Pavarde8642    Vardas8642     3.92                          
Pavarde8646    Vardas8646     3.16                          
Pavarde8647    Vardas8647     1.44                          
Pavarde8648    Vardas8648     2.16                          
Pavarde8652    Vardas8652     4.28                          
Pavarde8654    Vardas8654     4.48                          
Pavarde8655    Vardas8655     2.00                          
Pavarde8656    Vardas8656     3.56                          
Pavarde8657    Vardas8657     3.40                          
Pavarde8658    Vardas8658     3.60                          
Pavarde8659    Vardas8659     2.84                          
Pavarde8660    Vardas8660     1.96                          
Pavarde8662    Vardas8662     3.48                          
Pavarde8663    Vardas8663     1.52                          
Pavarde8664    Vardas8664     3.04                          
Pavarde8665    Vardas8665     2.20                          
Pavarde8667    Vardas8667     3.76                          
Pavarde8668    Vardas8668     3.36                          
Pavarde8669    Vardas8669     4.84                          
Pavarde8671    Vardas8671     4.40                          
Pavarde8672    Vardas8672     4.72                          
Pavarde8673    Vardas8673     3.28                          
Pavarde8674    Vardas8674     1.88                          
Pavarde8676    Vardas8676     4.68                          
Pavarde8681    Vardas8681     2.36                          
Pavarde8683    Vardas8683     2.64                          
Pavarde8684    Vardas8684     4.44                          
Pavarde8685    Vardas8685     2.80                          
Pavarde8686    Vardas8686     1.92                          
Pavarde8688    Vardas8688     3.96                          
Pavarde8689    Vardas8689     2.96                          
Pavarde8691    Vardas8691     3.92                          
Pavarde8694    Vardas8694     1.44                          
Pavarde8697    Vardas8697     4.92                          
Pavarde8701    Vardas8701     2.56                          
Pavarde8705    Vardas8705     4.96                          
Pavarde8708    Vardas8708     1.44                          
Pavarde8709    Vardas8709     1.76                          
Pavarde8710    Vardas8710     2.08                          
Pavarde8711    Vardas8711     1.96                          
Pavarde8712    Vardas8712     4.44                          
Pavarde8713    Vardas8713     3.72                          
Pavarde8714    Vardas8714     2.28                          
Pavarde8716    Vardas8716     4.24                          
Pavarde8718    Vardas8718     2.84                          
Pavarde8719    Vardas8719     3.88                          
Pavarde8724    Vardas8724     1.84                          
Pavarde8725    Vardas8725     1.12                          
Pavarde8726    Vardas8726     2.20                          
Pavarde8728    Vardas8728     4.84                          
Pavarde8730    Vardas8730     2.40                          
Pavarde8731    Vardas8731     3.16                          
Pavarde8735    Vardas8735     2.00                          
Pavarde8738    Vardas8738     4.96                          
Pavarde8742    Vardas8742     2.44                          
Pavarde8744    Vardas8744     4.92                          
Pavarde8746    Vardas8746     3.36                          
Pavarde8750    Vardas8750     4.24                          
Pavarde8751    Vardas8751     4.04                          
Pavarde8752    Vardas8752     3.96                          
Pavarde8753    Vardas8753     2.32                          
Pavarde8754    Vardas8754     3.40                          
Pavarde8755    Vardas8755     4.20                          
Pavarde8756    Vardas8756     4.20                          
Pavarde8757    Vardas8757     1.76                          
Pavarde8758    Vardas8758     3.32                          
Pavarde8759    Vardas8759     3.08                          
Pavarde8761    Vardas8761     3.48                          
Pavarde8762    Vardas8762     3.48                          
Pavarde8763    Vardas8763     4.60                          
Pavarde8764    Vardas8764     1.96                          
Pavarde8765    Vardas8765     4.00                          
Pavarde8768    Vardas8768     3.12                          
Pavarde8771    Vardas8771     4.80                          
Pavarde8773    Vardas8773     3.88                          
Pavarde8774    Vardas8774     4.08                          
Pavarde8775    Vardas8775     2.52                          
Pavarde8778    Vardas8778     2.40                          
Pavarde8779    Vardas8779     2.68                          
Pavarde8784    Vardas8784     4.56                          
Pavarde8785    Vardas8785     4.16                          
Pavarde8788    Vardas8788     4.48                          
Pavarde8790    Vardas8790     4.32                          
Pavarde8791    Vardas8791     4.00                          
Pavarde8792    Vardas8792     1.36                          
Pavarde8795    Vardas8795     2.48                          
Pavarde8796    Vardas8796     3.08                          
Pavarde8802    Vardas8802     4.56                          
Pavarde8803    Vardas8803     4.64                          
Pavarde8805    Vardas8805     1.76                          
Pavarde8807    Vardas8807     3.88                          
Pavarde8808    Vardas8808     3.52                          
Pavarde8812    Vardas8812     2.88                          
Pavarde8816    Vardas8816     4.20                          
Pavarde8818    Vardas8818     2.84                          
Pavarde8819    Vardas8819     2.40                          
Pavarde8821    Vardas8821     4.68                          
Pavarde8822    Vardas8822     3.72                          
Pavarde8823    Vardas8823     4.56                          
Pavarde8824    Vardas8824     4.28                          
Pavarde8825    Vardas8825     1.72                          
Pavarde8827    Vardas8827     4.52                          
Pavarde8828    Vardas8828     1.92                          
Pavarde8829    Vardas8829     1.96                          
Pavarde8831    Vardas8831     4.32                          
Pavarde8832    Vardas8832     3.60                          
Pavarde8833    Vardas8833     4.52                          
Pavarde8834    Vardas8834     2.68                          
Pavarde8836    Vardas8836     3.28                          
Pavarde8837    Vardas8837     3.28                          
Pavarde8841    Vardas8841     2.16                          
Pavarde8842    Vardas8842     3.64                          
Pavarde8843    Vardas8843     3.36                          
Pavarde8844    Vardas8844     3.84                          
Pavarde8846    Vardas8846     1.88                          
Pavarde8848    Vardas8848     4.00                          
Pavarde8849    Vardas8849     2.32                          
Pavarde8850    Vardas8850     2.88                          
Pavarde8851    Vardas8851     4.84                          
Pavarde8852    Vardas8852     0.64                          
Pavarde8854    Vardas8854     3.04                          
Pavarde8855    Vardas8855     2.40                          
Pavarde8857    Vardas8857     4.72                          
Pavarde8858    Vardas8858     3.36                          
Pavarde8860    Vardas8860     1.60                          
Pavarde8863    Vardas8863     2.16                          
Pavarde8865    Vardas8865     1.44                          
Pavarde8868    Vardas8868     2.36                          
Pavarde8870    Vardas8870     1.96                          
Pavarde8872    Vardas8872     4.04                          
Pavarde8873    Vardas8873     1.84                          
Pavarde8874    Vardas8874     1.68                          
Pavarde8875    Vardas8875     4.24                          
Pavarde8877    Vardas8877     2.88                          
Pavarde8879    Vardas8879     1.80                          
Pavarde8881    Vardas8881     4.96                          
Pavarde8882    Vardas8882     2.60                          
Pavarde8889    Vardas8889     1.52                          
Pavarde8890    Vardas8890     1.52                          
Pavarde8891    Vardas8891     1.76                          
Pavarde8894    Vardas8894     4.40                          
Pavarde8895    Vardas8895     3.48                          
Pavarde8896    Vardas8896     2.96                          
Pavarde8897    Vardas8897     4.40                          
Pavarde8899    Vardas8899     1.60                          
Pavarde8900    Vardas8900     2.36                          
Pavarde8903    Vardas8903     2.84                          
Pavarde8904    Vardas8904     3.56                          
Pavarde8905    Vardas8905     1.84                          
Pavarde8908    Vardas8908     4.00                          
Pavarde8909    Vardas8909     4.80                          
Pavarde8910    Vardas8910     3.28                          
Pavarde8911    Vardas8911     4.16                          
Pavarde8912    Vardas8912     4.52                          
Pavarde8913    Vardas8913     4.32                          
Pavarde8919    Vardas8919     4.80                          
Pavarde8921    Vardas8921     4.32                          
Pavarde8922    Vardas8922     2.92                          
Pavarde8925    Vardas8925     1.80                          
Pavarde8930    Vardas8930     3.96                          
Pavarde8933    Vardas8933     4.04                          
Pavarde8937    Vardas8937     2.52                          
Pavarde8940    Vardas8940     2.60                          
Pavarde8942    Vardas8942     3.04                          
Pavarde8944    Vardas8944     3.76                          
Pavarde8947    Vardas8947     1.56                          
Pavarde8949    Vardas8949     1.88                          
Pavarde8952    Vardas8952     4.16                          
Pavarde8953    Vardas8953     3.36                          
Pavarde8954    Vardas8954     2.80                          
Pavarde8955    Vardas8955     3.40                          
Pavarde8956    Vardas8956     4.72                          
Pavarde8957    Vardas8957     4.56                          
Pavarde8958    Vardas8958     3.92                          
Pavarde8961    Vardas8961     4.96                          
Pavarde8963    Vardas8963     3.52                          
Pavarde8964    Vardas8964     3.64                          
Pavarde8966    Vardas8966     4.24                          
Pavarde8968    Vardas8968     2.40                          
Pavarde8969    Vardas8969     2.24                          
Pavarde8970    Vardas8970     4.48                          
Pavarde8972    Vardas8972     1.76                          
Pavarde8973    Vardas8973     4.68                          
Pavarde8975    Vardas8975     2.28                          
Pavarde8978    Vardas8978     4.28                          
Pavarde8980    Vardas8980     1.72                          
Pavarde8982    Vardas8982     2.84                          
Pavarde8983    Vardas8983     2.68                          
Pavarde8985    Vardas8985     3.12                          
Pavarde8986    Vardas8986     3.36                          
Pavarde8989    Vardas8989     2.12                          
Pavarde8990    Vardas8990     1.28                          
Pavarde8992    Vardas8992     3.36                          
Pavarde8993    Vardas8993     1.20                          
Pavarde8994    Vardas8994     4.08                          
Pavarde8995    Vardas8995     4.96                          
Pavarde8998    Vardas8998     1.80                          
Pavarde9004    Vardas9004     2.96                          
Pavarde9005    Vardas9005     4.52                          
Pavarde9007    Vardas9007     4.20                          
Pavarde9009    Vardas9009     3.68                          
Pavarde9010    Vardas9010     4.44                          
Pavarde9012    Vardas9012     4.32                          
Pavarde9013    Vardas9013     3.04                          
Pavarde9014    Vardas9014     2.68                          
Pavarde9019    Vardas9019     4.48                          
Pavarde9020    Vardas9020     2.24                          
Pavarde9021    Vardas9021     3.68                          
Pavarde9022    Vardas9022     3.72                          
Pavarde9024    Vardas9024     3.68                          
Pavarde9026    Vardas9026     1.52                          
Pavarde9027    Vardas9027     2.64                          
Pavarde9028    Vardas9028     3.76                          
Pavarde9029    Vardas9029     2.32                          
Pavarde9030    Vardas9030     3.88                          
Pavarde9034    Vardas9034     3.36                          
Pavarde9035    Vardas9035     2.64                          
Pavarde9037    Vardas9037     2.40                          
Pavarde9039    Vardas9039     1.56                          
Pavarde9042    Vardas9042     3.60                          
Pavarde9047    Vardas9047     1.84                          
Pavarde9048    Vardas9048     3.36                          
Pavarde9049    Vardas9049     3.12                          
Pavarde9050    Vardas9050     3.64                          
Pavarde9051    Vardas9051     2.00                          
Pavarde9053    Vardas9053     3.56                          
Pavarde9054    Vardas9054     4.60                          
Pavarde9055    Vardas9055     4.84                          
Pavarde9060    Vardas9060     4.92                          
Pavarde9062    Vardas9062     2.84                          
Pavarde9063    Vardas9063     4.36                          
Pavarde9064    Vardas9064     3.24                          
Pavarde9068    Vardas9068     4.24                          
Pavarde9069    Vardas9069     2.48                          
Pavarde9071    Vardas9071     1.68                          
Pavarde9073    Vardas9073     4.76                          
Pavarde9075    Vardas9075     3.40                          
Pavarde9076    Vardas9076     4.16                          
Pavarde9077    Vardas9077     1.40                          
Pavarde9078    Vardas9078     3.64                          
Pavarde9079    Vardas9079     1.92                          
Pavarde9080    Vardas9080     4.04                          
Pavarde9083    Vardas9083     2.24                          
Pavarde9084    Vardas9084     2.36                          
Pavarde9085    Vardas9085     3.56                          
Pavarde9086    Vardas9086     2.44                          
Pavarde9089    Vardas9089     2.92                          
Pavarde9090    Vardas9090     3.00                          
Pavarde9091    Vardas9091     2.48                          
Pavarde9092    Vardas9092     4.40                          
Pavarde9094    Vardas9094     3.84                          
Pavarde9095    Vardas9095     2.08                          
Pavarde9096    Vardas9096     3.44                          
Pavarde9097    Vardas9097     4.24                          
Pavarde9098    Vardas9098     2.44                          
Pavarde9100    Vardas9100     4.08                          
Pavarde9101    Vardas9101     3.68                          
Pavarde9103    Vardas9103     3.12                          
Pavarde9104    Vardas9104     3.28                          
Pavarde9105    Vardas9105     1.60                          
Pavarde9108    Vardas9108     4.56                          
Pavarde9109    Vardas9109     3.16                          
Pavarde9110    Vardas9110     3.80                          
Pavarde9113    Vardas9113     3.48                          
Pavarde9114    Vardas9114     3.20                          
Pavarde9115    Vardas9115     4.16                          
Pavarde9116    Vardas9116     4.16                          
Pavarde9118    Vardas9118     1.36                          
Pavarde9121    Vardas9121     3.64                          
Pavarde9122    Vardas9122     3.96                          
Pavarde9123    Vardas9123     3.08                          
Pavarde9124    Vardas9124     3.48                          
Pavarde9128    Vardas9128     4.16                          
Pavarde9129    Vardas9129     3.52                          
Pavarde9130    Vardas9130     4.76                          
Pavarde9133    Vardas9133     4.28                          
Pavarde9134    Vardas9134     3.96                          
Pavarde9136    Vardas9136     1.60                          
Pavarde9137    Vardas9137     2.12                          
Pavarde9138    Vardas9138     1.28                          
Pavarde9139    Vardas9139     2.48                          
Pavarde9144    Vardas9144     1.20                          
Pavarde9146    Vardas9146     4.96                          
Pavarde9147    Vardas9147     1.96                          
Pavarde9148    Vardas9148     2.84                          
Pavarde9149    Vardas9149     2.64                          
Pavarde9151    Vardas9151     3.60                          
Pavarde9152    Vardas9152     2.32                          
Pavarde9153    Vardas9153     2.44                          
Pavarde9154    Vardas9154     4.32                          
Pavarde9155    Vardas9155     3.40                          
Pavarde9156    Vardas9156     3.80                          
Pavarde9157    Vardas9157     2.84                          
Pavarde9158    Vardas9158     2.40                          
Pavarde9159    Vardas9159     4.08                          
Pavarde9160    Vardas9160     4.80                          
Pavarde9162    Vardas9162     4.80                          
Pavarde9163    Vardas9163     3.48                          
Pavarde9164    Vardas9164     4.24                          
Pavarde9165    Vardas9165     1.76                          
Pavarde9166    Vardas9166     1.12                          
Pavarde9167    Vardas9167     4.40                          
Pavarde9168    Vardas9168     3.16                          
Pavarde9169    Vardas9169     1.44                          
Pavarde9170    Vardas9170     0.72                          
Pavarde9171    Vardas9171     2.32                          
Pavarde9172    Vardas9172     2.52                          
Pavarde9173    Vardas9173     4.48                          
Pavarde9175    Vardas9175     2.36                          
Pavarde9176    Vardas9176     4.84                          
Pavarde9177    Vardas9177     3.96                          
Pavarde9179    Vardas9179     3.92                          
Pavarde9182    Vardas9182     4.80                          
Pavarde9184    Vardas9184     3.16                          
Pavarde9186    Vardas9186     2.36                          
Pavarde9187    Vardas9187     0.80                          
Pavarde9189    Vardas9189     3.04                          
Pavarde9191    Vardas9191     4.36                          
Pavarde9192    Vardas9192     2.36                          
Pavarde9193    Vardas9193     4.20                          
Pavarde9194    Vardas9194     2.96                          
Pavarde9195    Vardas9195     3.88                          
Pavarde9196    Vardas9196     4.40                          
Pavarde9198    Vardas9198     2.40                          
Pavarde9199    Vardas9199     4.64                          
Pavarde9202    Vardas9202     4.92                          
Pavarde9205    Vardas9205     4.84                          
Pavarde9208    Vardas9208     2.72                          
Pavarde9209    Vardas9209     3.68                          
Pavarde9210    Vardas9210     2.72                          
Pavarde9213    Vardas9213     2.52                          
Pavarde9214    Vardas9214     2.92                          
Pavarde9215    Vardas9215     3.36                          
Pavarde9219    Vardas9219     1.28                          
Pavarde9223    Vardas9223     1.44                          
Pavarde9224    Vardas9224     3.48                          
Pavarde9225    Vardas9225     2.16                          
Pavarde9230    Vardas9230     4.28                          
Pavarde9231    Vardas9231     3.80                          
Pavarde9232    Vardas9232     1.76                          
Pavarde9234    Vardas9234     3.20                          
Pavarde9235    Vardas9235     2.60                          
Pavarde9236    Vardas9236     1.76                          
Pavarde9241    Vardas9241     3.92                          
Pavarde9242    Vardas9242     4.84                          
Pavarde9243    Vardas9243     3.60                          
Pavarde9244    Vardas9244     1.84                          
Pavarde9246    Vardas9246     2.92                          
Pavarde9249    Vardas9249     3.24                          
Pavarde9253    Vardas9253     2.80                          
Pavarde9254    Vardas9254     4.24                          
Pavarde9257    Vardas9257     4.84                          
Pavarde9258    Vardas9258     2.12                          
Pavarde9259    Vardas9259     4.68                          
Pavarde9261    Vardas9261     3.04                          
Pavarde9264    Vardas9264     2.64                          
Pavarde9266    Vardas9266     3.28                          
Pavarde9268    Vardas9268     4.96                          
Pavarde9271    Vardas9271     4.64                          
Pavarde9275    Vardas9275     4.32                          
Pavarde9277    Vardas9277     3.56                          
Pavarde9278    Vardas9278     2.00                          
Pavarde9280    Vardas9280     2.12                          
Pavarde9281    Vardas9281     2.88                          
Pavarde9284    Vardas9284     0.96                          
Pavarde9285    Vardas9285     1.88                          
Pavarde9287    Vardas9287     4.96                          
Pavarde9289    Vardas9289     2.80                          
Pavarde9290    Vardas9290     2.92                          
Pavarde9291    Vardas9291     4.40                          
Pavarde9293    Vardas9293     3.64                          
Pavarde9297    Vardas9297     4.96                          
Pavarde9298    Vardas9298     3.64                          
Pavarde9300    Vardas9300     2.96                          
Pavarde9301    Vardas9301     3.20                          
Pavarde9303    Vardas9303     4.60                          
Pavarde9304    Vardas9304     4.76                          
Pavarde9305    Vardas9305     4.52                          
Pavarde9306    Vardas9306     4.36                          
Pavarde9307    Vardas9307     2.36                          
Pavarde9309    Vardas9309     3.36                          
Pavarde9310    Vardas9310     4.56                          
Pavarde9311    Vardas9311     3.92                          
Pavarde9312    Vardas9312     1.52                          
Pavarde9313    Vardas9313     3.56                          
Pavarde9314    Vardas9314     1.76                          
Pavarde9316    Vardas9316     3.76                          
Pavarde9317    Vardas9317     3.36                          
Pavarde9318    Vardas9318     4.76                          
Pavarde9319    Vardas9319     2.32                          
Pavarde9320    Vardas9320     0.72                          
Pavarde9322    Vardas9322     2.72                          
Pavarde9323    Vardas9323     3.56                          
Pavarde9329    Vardas9329     3.96                          
Pavarde9330    Vardas9330     1.80                          
Pavarde9331    Vardas9331     4.00                          
Pavarde9339    Vardas9339     3.04                          
Pavarde9341    Vardas9341     4.40                          
Pavarde9342    Vardas9342     2.72                          
Pavarde9343    Vardas9343     4.08                          
Pavarde9344    Vardas9344     2.60                          
Pavarde9345    Vardas9345     4.08                          
Pavarde9347    Vardas9347     3.60                          
Pavarde9348    Vardas9348     3.44                          
Pavarde9351    Vardas9351     4.32                          
Pavarde9352    Vardas9352     1.72                          
Pavarde9354    Vardas9354     2.32                          
Pavarde9355    Vardas9355     2.00                          
Pavarde9357    Vardas9357     2.40                          
Pavarde9361    Vardas9361     2.28                          
Pavarde9366    Vardas9366     4.68                          
Pavarde9368    Vardas9368     0.92                          
Pavarde9371    Vardas9371     4.24                          
Pavarde9373    Vardas9373     3.08                          
Pavarde9374    Vardas9374     1.16                          
Pavarde9377    Vardas9377     4.20                          
Pavarde9378    Vardas9378     1.72                          
Pavarde9380    Vardas9380     3.56                          
Pavarde9384    Vardas9384     3.96                          
Pavarde9385    Vardas9385     3.76                          
Pavarde9386    Vardas9386     4.16                          
Pavarde9387    Vardas9387     4.68                          
Pavarde9388    Vardas9388     4.64                          
Pavarde9390    Vardas9390     3.16                          
Pavarde9392    Vardas9392     3.84                          
Pavarde9393    Vardas9393     1.88                          
Pavarde9394    Vardas9394     2.92                          
Pavarde9396    Vardas9396     3.64                          
Pavarde9398    Vardas9398     4.96                          
Pavarde9400    Vardas9400     4.56                          
Pavarde9401    Vardas9401     2.96                          
Pavarde9402    Vardas9402     3.32                          
Pavarde9406    Vardas9406     4.60                          
Pavarde9407    Vardas9407     2.76                          
Pavarde9408    Vardas9408     3.72                          
Pavarde9411    Vardas9411     2.92                          
Pavarde9412    Vardas9412     2.92                          
Pavarde9414    Vardas9414     2.60                          
Pavarde9417    Vardas9417     4.32                          
Pavarde9418    Vardas9418     2.64                          
Pavarde9420    Vardas9420     1.28                          
Pavarde9421    Vardas9421     3.32                          
Pavarde9423    Vardas9423     1.68                          
Pavarde9426    Vardas9426     3.96                          
Pavarde9427    Vardas9427     2.68                          
Pavarde9429    Vardas9429     3.56                          
Pavarde9435    Vardas9435     2.68                          
Pavarde9436    Vardas9436     1.52                          
Pavarde9438    Vardas9438     4.04                          
Pavarde9439    Vardas9439     3.64                          
Pavarde9441    Vardas9441     3.28                          
Pavarde9444    Vardas9444     3.28                          
Pavarde9445    Vardas9445     4.20                          
Pavarde9446    Vardas9446     2.96                          
Pavarde9448    Vardas9448     4.56                          
Pavarde9449    Vardas9449     3.80                          
Pavarde9453    Vardas9453     4.24                          
Pavarde9454    Vardas9454     2.88                          
Pavarde9456    Vardas9456     3.08                          
Pavarde9457    Vardas9457     3.44                          
Pavarde9459    Vardas9459     1.92                          
Pavarde9460    Vardas9460     3.96                          
Pavarde9461    Vardas9461     3.88                          
Pavarde9462    Vardas9462     2.48                          
Pavarde9463    Vardas9463     3.36                          
Pavarde9464    Vardas9464     1.04                          
Pavarde9467    Vardas9467     3.16                          
Pavarde9470    Vardas9470     4.48                          
Pavarde9471    Vardas9471     3.56                          
Pavarde9472    Vardas9472     1.52                          
Pavarde9473    Vardas9473     4.60                          
Pavarde9474    Vardas9474     3.32                          
Pavarde9475    Vardas9475     2.24                          
Pavarde9476    Vardas9476     1.96                          
Pavarde9477    Vardas9477     1.44                          
Pavarde9478    Vardas9478     2.32                          
Pavarde9479    Vardas9479     3.24                          
Pavarde9480    Vardas9480     3.28                          
Pavarde9482    Vardas9482     4.04                          
Pavarde9484    Vardas9484     2.60                          
Pavarde9485    Vardas9485     4.28                          
Pavarde9486    Vardas9486     4.68                          
Pavarde9488    Vardas9488     4.96                          
Pavarde9489    Vardas9489     4.88                          
Pavarde9490    Vardas9490     4.28                          
Pavarde9492    Vardas9492     3.32                          
Pavarde9493    Vardas9493     4.04                          
Pavarde9495    Vardas9495     2.56                          
Pavarde9496    Vardas9496     3.00                          
Pavarde9498    Vardas9498     2.28                          
Pavarde9501    Vardas9501     2.20                          
Pavarde9505    Vardas9505     2.12                          
Pavarde9507    Vardas9507     3.12                          
Pavarde9509    Vardas9509     2.48                          
Pavarde9510    Vardas9510     2.96                          
Pavarde9513    Vardas9513     4.68                          
Pavarde9514    Vardas9514     1.60                          
Pavarde9516    Vardas9516     3.00                          
Pavarde9517    Vardas9517     4.84                          
Pavarde9519    Vardas9519     4.28                          
Pavarde9520    Vardas9520     2.48                          
Pavarde9521    Vardas9521     4.20                          
Pavarde9524    Vardas9524     2.52                          
Pavarde9526    Vardas9526     2.96                          
Pavarde9529    Vardas9529     2.00                          
Pavarde9530    Vardas9530     1.92                          
Pavarde9531    Vardas9531     1.60                          
Pavarde9536    Vardas9536     4.44                          
Pavarde9537    Vardas9537     1.92                          
Pavarde9539    Vardas9539     2.84                          
Pavarde9542    Vardas9542     3.52                          
Pavarde9543    Vardas9543     4.80                          
Pavarde9545    Vardas9545     4.88                          
Pavarde9553    Vardas9553     4.16                          
Pavarde9555    Vardas9555     4.08                          
Pavarde9557    Vardas9557     2.24                          
Pavarde9558    Vardas9558     4.52                          
Pavarde9559    Vardas9559     3.72                          
Pavarde9560    Vardas9560     3.96                          
Pavarde9561    Vardas9561     2.40                          
Pavarde9562    Vardas9562     3.04                          
Pavarde9563    Vardas9563     2.36                          
Pavarde9564    Vardas9564     3.28                          
Pavarde9565    Vardas9565     4.24                          
Pavarde9567    Vardas9567     3.08                          
Pavarde9568    Vardas9568     2.52                          
Pavarde9569    Vardas9569     2.72                          
Pavarde9571    Vardas9571     3.48                          
Pavarde9573    Vardas9573     3.96                          
Pavarde9575    Vardas9575     3.68                          
Pavarde9580    Vardas9580     2.92                          
Pavarde9583    Vardas9583     2.28                          
Pavarde9585    Vardas9585     2.48                          
Pavarde9586    Vardas9586     2.64                          
Pavarde9587    Vardas9587     4.36                          
Pavarde9588    Vardas9588     2.00                          
Pavarde9590    Vardas9590     3.68                          
Pavarde9591    Vardas9591     2.28                          
Pavarde9592    Vardas9592     3.48                          
Pavarde9593    Vardas9593     1.92                          
Pavarde9594    Vardas9594     3.84                          
Pavarde9596    Vardas9596     3.36                          
Pavarde9597    Vardas9597     1.60                          
Pavarde9598    Vardas9598     3.40                          
Pavarde9600    Vardas9600     2.72                          
Pavarde9601    Vardas9601     4.72                          
Pavarde9603    Vardas9603     2.80                          
Pavarde9605    Vardas9605     4.92                          
Pavarde9606    Vardas9606     3.56                          
Pavarde9607    Vardas9607     4.60                          
Pavarde9608    Vardas9608     1.84                          
Pavarde9609    Vardas9609     2.96                          
Pavarde9612    Vardas9612     3.48                          
Pavarde9615    Vardas9615     3.52                          
Pavarde9616    Vardas9616     3.48                          
Pavarde9620    Vardas9620     2.88                          
Pavarde9621    Vardas9621     4.16                          
Pavarde9622    Vardas9622     2.52                          
Pavarde9623    Vardas9623     4.08                          
Pavarde9624    Vardas9624     1.56                          
Pavarde9626    Vardas9626     4.04                          
Pavarde9627    Vardas9627     2.00                          
Pavarde9629    Vardas9629     3.12                          
Pavarde9630    Vardas9630     4.80                          
Pavarde9631    Vardas9631     3.48                          
Pavarde9632    Vardas9632     4.40                          
Pavarde9636    Vardas9636     2.92                          
Pavarde9637    Vardas9637     4.32                          
Pavarde9638    Vardas9638     2.04                          
Pavarde9639    Vardas9639     4.88                          
Pavarde9642    Vardas9642     3.52                          
Pavarde9643    Vardas9643     3.76                          
Pavarde9646    Vardas9646     3.04                          
Pavarde9647    Vardas9647     2.20                          
Pavarde9648    Vardas9648     4.80                          
Pavarde9649    Vardas9649     1.84                          
Pavarde9650    Vardas9650     2.72                          
Pavarde9651    Vardas9651     2.28                          
Pavarde9654    Vardas9654     1.76                          
Pavarde9655    Vardas9655     1.28                          
Pavarde9656    Vardas9656     4.80                          
Pavarde9658    Vardas9658     2.60                          
Pavarde9661    Vardas9661     2.96                          
Pavarde9662    Vardas9662     1.92                          
Pavarde9665    Vardas9665     4.68                          
Pavarde9666    Vardas9666     3.32                          
Pavarde9670    Vardas9670     2.76                          
Pavarde9671    Vardas9671     3.24                          
Pavarde9672    Vardas9672     4.88                          
Pavarde9673    Vardas9673     4.80                          
Pavarde9674    Vardas9674     1.56                          
Pavarde9675    Vardas9675     3.04                          
Pavarde9676    Vardas9676     1.92                          
Pavarde9677    Vardas9677     4.80                          
Pavarde9678    Vardas9678     4.76                          
Pavarde9679    Vardas9679     3.28                          
Pavarde9681    Vardas9681     3.88                          
Pavarde9682    Vardas9682     1.60                          
Pavarde9686    Vardas9686     2.76                          
Pavarde9688    Vardas9688     1.00                          
Pavarde9690    Vardas9690     3.84                          
Pavarde9691    Vardas9691     1.80                          
Pavarde9692    Vardas9692     3.96                          
Pavarde9693    Vardas9693     2.16                          
Pavarde9695    Vardas9695     3.76                          
Pavarde9696    Vardas9696     2.96                          
Pavarde9697    Vardas9697     3.04                          
Pavarde9698    Vardas9698     3.72                          
Pavarde9699    Vardas9699     4.64                          
Pavarde9702    Vardas9702     4.72                          
Pavarde9703    Vardas9703     3.28                          
Pavarde9704    Vardas9704     4.84                          
Pavarde9706    Vardas9706     4.52                          
Pavarde9707    Vardas9707     3.92                          
Pavarde9708    Vardas9708     4.72                          
Pavarde9709    Vardas9709     2.32                          
Pavarde9711    Vardas9711     3.96                          
Pavarde9713    Vardas9713     3.20                          
Pavarde9715    Vardas9715     3.48                          
Pavarde9716    Vardas9716     4.72                          
Pavarde9717    Vardas9717     2.28                          
Pavarde9718    Vardas9718     3.04                          
Pavarde9719    Vardas9719     4.72                          
Pavarde9720    Vardas9720     4.16                          
Pavarde9721    Vardas9721     4.88                          
Pavarde9725    Vardas9725     2.44                          
Pavarde9727    Vardas9727     1.52                          
Pavarde9728    Vardas9728     2.16                          
Pavarde9729    Vardas9729     4.76                          
Pavarde9731    Vardas9731     2.84                          
Pavarde9735    Vardas9735     4.60                          
Pavarde9737    Vardas9737     3.68                          
Pavarde9738    Vardas9738     3.60                          
Pavarde9740    Vardas9740     3.72                          
Pavarde9741    Vardas9741     2.28                          
Pavarde9742    Vardas9742     3.64                          
Pavarde9744    Vardas9744     4.36                          
Pavarde9746    Vardas9746     3.84                          
Pavarde9751    Vardas9751     4.24                          
Pavarde9754    Vardas9754     2.60                          
Pavarde9756    Vardas9756     3.80                          
Pavarde9757    Vardas9757     1.76                          
Pavarde9758    Vardas9758     2.32                          
Pavarde9759    Vardas9759     4.80                          
Pavarde9760    Vardas9760     4.68                          
Pavarde9761    Vardas9761     1.20                          
Pavarde9762    Vardas9762     3.52                          
Pavarde9766    Vardas9766     4.60                          
Pavarde9767    Vardas9767     3.76                          
Pavarde9768    Vardas9768     3.40                          
Pavarde9771    Vardas9771     1.36                          
Pavarde9772    Vardas9772     2.28                          
Pavarde9773    Vardas9773     4.60                          
Pavarde9775    Vardas9775     4.92                          
Pavarde9776    Vardas9776     1.96                          
